Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,63,main.txt-10,60,output.txt,78,
10,63,main.txt-10,76,main.txt,46,
10,63,main.txt-10,79,main.txt,43,
10,63,main.txt-10,85,main.txt,69,
10,63,main.txt-10,06,main.txt,47,
10,63,main.txt-10,32,main.txt,52,
10,63,main.txt-10,45,_get_result.txt,56,
10,63,main.txt-10,06,sup.txt,84,
10,63,main.txt-10,97,main.txt,44,
10,63,main.txt-10,19,main.txt,36,
10,63,main.txt-10,89,main.txt,45,
10,63,main.txt-10,36,main.txt,48,
10,63,main.txt-10,80,main.txt,42,
10,63,main.txt-10,84,main.txt,51,
10,63,main.txt-10,18,main.txt,53,
10,63,main.txt-10,93,main.txt,58,
10,63,main.txt-10,20,main.txt,57,
10,63,main.txt-10,28,main.txt,55,
10,63,main.txt-10,57,main.txt,48,
10,63,main.txt-10,61,initarreglos.txt,75,
10,63,main.txt-10,06,nor.txt,81,
10,63,main.txt-10,42,main.txt,57,
10,63,main.txt-10,51,main.txt,48,
10,63,main.txt-10,74,main.txt,36,
10,63,main.txt-10,61,main.txt,51,
10,63,main.txt-10,34,calcnum.txt,53,
10,63,main.txt-10,73,main.txt,38,
10,39,main.txt-10,45,main.txt,77,
10,39,main.txt-10,09,main.txt,40,
10,39,main.txt-10,72,main.txt,56,
10,39,main.txt-10,60,culculate.txt,79,
10,39,main.txt-10,11,score_breakup.txt,87,
10,39,main.txt-10,60,output.txt,90,
10,39,main.txt-10,76,main.txt,51,
10,39,main.txt-10,79,main.txt,64,
10,39,main.txt-10,85,main.txt,39,
10,39,main.txt-10,06,main.txt,59,
10,39,main.txt-10,32,main.txt,63,
10,39,main.txt-10,45,_get_result.txt,74,
10,39,main.txt-10,06,sup.txt,93,
10,39,main.txt-10,97,main.txt,63,
10,39,main.txt-10,19,main.txt,65,
10,39,main.txt-10,89,main.txt,56,
10,39,main.txt-10,36,main.txt,62,
10,39,main.txt-10,80,main.txt,66,
10,39,main.txt-10,84,main.txt,51,
10,39,main.txt-10,18,main.txt,52,
10,39,main.txt-10,93,main.txt,40,
10,39,main.txt-10,20,main.txt,41,
10,39,main.txt-10,28,main.txt,41,
10,39,main.txt-10,57,main.txt,55,
10,39,main.txt-10,61,initarreglos.txt,86,
10,39,main.txt-10,06,nor.txt,91,
10,39,main.txt-10,42,main.txt,59,
10,39,main.txt-10,51,main.txt,57,
10,39,main.txt-10,74,main.txt,65,
10,39,main.txt-10,61,main.txt,50,
10,39,main.txt-10,34,calcnum.txt,70,
10,39,main.txt-10,73,main.txt,70,
10,39,main.txt-10,63,main.txt,63,
10,91,main.txt-10,45,main.txt,71,
10,91,main.txt-10,09,main.txt,48,
10,91,main.txt-10,72,main.txt,45,
10,91,main.txt-10,60,culculate.txt,71,
10,91,main.txt-10,11,score_breakup.txt,83,
10,91,main.txt-10,60,output.txt,87,
10,91,main.txt-10,76,main.txt,38,
10,91,main.txt-10,79,main.txt,54,
10,91,main.txt-10,85,main.txt,51,
10,91,main.txt-10,06,main.txt,47,
10,91,main.txt-10,32,main.txt,56,
10,91,main.txt-10,45,_get_result.txt,67,
10,91,main.txt-10,06,sup.txt,90,
10,91,main.txt-10,97,main.txt,55,
10,91,main.txt-10,19,main.txt,54,
10,91,main.txt-10,89,main.txt,46,
10,91,main.txt-10,36,main.txt,56,
10,91,main.txt-10,80,main.txt,59,
10,91,main.txt-10,84,main.txt,47,
10,91,main.txt-10,18,main.txt,50,
10,91,main.txt-10,93,main.txt,47,
10,91,main.txt-10,20,main.txt,37,
10,91,main.txt-10,28,main.txt,38,
10,91,main.txt-10,57,main.txt,52,
10,91,main.txt-10,61,initarreglos.txt,82,
10,91,main.txt-10,06,nor.txt,88,
10,91,main.txt-10,42,main.txt,57,
10,91,main.txt-10,51,main.txt,49,
10,91,main.txt-10,74,main.txt,57,
10,91,main.txt-10,61,main.txt,46,
10,91,main.txt-10,34,calcnum.txt,62,
10,91,main.txt-10,73,main.txt,60,
10,91,main.txt-10,63,main.txt,52,
10,91,main.txt-10,39,main.txt,45,
10,83,solve_all.txt-10,45,main.txt,61,
10,83,solve_all.txt-10,09,main.txt,87,
10,83,solve_all.txt-10,72,main.txt,76,
10,83,solve_all.txt-10,60,culculate.txt,64,
10,83,solve_all.txt-10,11,score_breakup.txt,59,
10,83,solve_all.txt-10,60,output.txt,59,
10,83,solve_all.txt-10,76,main.txt,78,
10,83,solve_all.txt-10,79,main.txt,74,
10,83,solve_all.txt-10,85,main.txt,89,
10,83,solve_all.txt-10,06,main.txt,76,
10,83,solve_all.txt-10,32,main.txt,74,
10,83,solve_all.txt-10,45,_get_result.txt,69,
10,83,solve_all.txt-10,06,sup.txt,63,
10,83,solve_all.txt-10,97,main.txt,73,
10,83,solve_all.txt-10,19,main.txt,69,
10,83,solve_all.txt-10,89,main.txt,75,
10,83,solve_all.txt-10,36,main.txt,75,
10,83,solve_all.txt-10,80,main.txt,68,
10,83,solve_all.txt-10,84,main.txt,80,
10,83,solve_all.txt-10,18,main.txt,81,
10,83,solve_all.txt-10,93,main.txt,84,
10,83,solve_all.txt-10,20,main.txt,85,
10,83,solve_all.txt-10,28,main.txt,82,
10,83,solve_all.txt-10,57,main.txt,78,
10,83,solve_all.txt-10,61,initarreglos.txt,67,
10,83,solve_all.txt-10,06,nor.txt,59,
10,83,solve_all.txt-10,42,main.txt,81,
10,83,solve_all.txt-10,51,main.txt,76,
10,83,solve_all.txt-10,74,main.txt,67,
