Study-object,Files,Method,Files,Method,LevenDistance
1,59,gcd.txt-1,40,main.txt,88
1,59,gcd.txt-1,94,read.txt,68
1,59,gcd.txt-1,23,main.txt,75
1,10,main.txt-1,9,shortest.txt,80
1,10,main.txt-1,47,check.txt,75
1,10,main.txt-1,30,main.txt,45
1,10,main.txt-1,98,main.txt,44
1,10,main.txt-1,17,gcd.txt,82
1,10,main.txt-1,34,main.txt,39
1,10,main.txt-1,65,main.txt,31
1,10,main.txt-1,66,main.txt,49
1,10,main.txt-1,38,g.txt,76
1,10,main.txt-1,80,main.txt,42
1,10,main.txt-1,75,powr.txt,74
1,10,main.txt-1,11,main.txt,33
1,10,main.txt-1,94,main.txt,84
1,10,main.txt-1,80,gcd.txt,79
1,10,main.txt-1,12,gcd.txt,82
1,10,main.txt-1,67,main.txt,50
1,10,main.txt-1,57,main.txt,33
1,10,main.txt-1,50,main.txt,37
1,10,main.txt-1,46,ispot2.txt,74
1,10,main.txt-1,12,main.txt,40
1,10,main.txt-1,41,betterpower.txt,74
1,10,main.txt-1,24,euclid.txt,80
1,10,main.txt-1,33,gen.txt,64
1,10,main.txt-1,64,t.txt,67
1,10,main.txt-1,45,ispow2.txt,72
1,10,main.txt-1,41,main.txt,49
1,10,main.txt-1,27,desc.txt,82
1,10,main.txt-1,40,main.txt,58
1,10,main.txt-1,94,read.txt,61
1,10,main.txt-1,23,main.txt,35
1,10,main.txt-1,59,gcd.txt,78
1,86,mcd.txt-1,9,shortest.txt,40
1,86,mcd.txt-1,47,check.txt,37
1,86,mcd.txt-1,30,main.txt,81
1,86,mcd.txt-1,98,main.txt,80
1,86,mcd.txt-1,17,gcd.txt,43
1,86,mcd.txt-1,34,main.txt,78
1,86,mcd.txt-1,65,main.txt,72
1,86,mcd.txt-1,66,main.txt,78
1,86,mcd.txt-1,38,g.txt,23
1,86,mcd.txt-1,80,main.txt,81
1,86,mcd.txt-1,75,powr.txt,40
1,86,mcd.txt-1,11,main.txt,73
1,86,mcd.txt-1,94,main.txt,61
